InnovationID,InnovationName,InnovationDescription,Category,Invention,Patents,CoInventor,Completed ,ConnectedWoman,Bundle
1230,Co-founder of the Nurse Practitioner Model,1965 co-founded the Nurse Practitioner Model with pediatrician Dr. Henry Silver,Nursing,None found,None,NULL,yes,738,undefined
1231,Transportation Entrepreneur,1889 founded Foss Maritime Company & it became the largest tugboat company in the Western US,Maritime,None found,None,NULL,yes,579,undefined
1232,Farmer,created and donated the first outdoor living historical farm (Fosterfields) in New Jersey; donated her farm so future generations could observe early farming techniques; farm is still in operation,Philanthropist,None found,None,None,yes,1180,undefined
1233,Co-founder of the Society of Women Engineers,was part of the small group of women who founded the Society of Women Engineers (charter member of the New York Section in 1949); early 1950s she & her husband Alexander founded the American Actuator Corporation where they developed industrial safety equipment & electrical control systems to automate the process for bending sheet metal,Chemical Engineering,Control for press brake; Gauging device for power press; Press unloader including magnetic lift means & magnetic delivery rollers,3451236; 3262695; 2976753,Alexander Fowler,yes,830,undefined
1234,Breeder of Naturally colored cotton,cotton breeder who breeds naturally colored varieties of cotton; inventor of FoxFibre & founder of Natural Cotton Colors Inc (1989) breeds pest-resistant plants; has created 2 naturally colored cottons & launched Foxfibre Colorganics; also has received a utility patent for the flame resistant properties she discovered and bred in Coyote and Buffalo Fox Fibre®;,Agriculture,Naturally flame resistant cotton fiber,5496623,None,yes,675,undefined
1235,Inventor of a Maternity Suit,"with sister Edna founded Page boy in 1937 in Dallas TX-it was the country's 1st high-end maternity-wear firm; invented & patented a 2-piece maternity suit that was chic, stylish & maintained it's hem-line during pregnancy; was the face of the company & designer of it's 1st patented suit while sister Edna kept the factory & sales shops running & sister Louise (who joined the firm 5 years later) ran the design studio",Textiles,Maternity garment ensemble,2141814,Edna Ravkind nee Frankfurt,yes,833,undefined
1236,Co-founder of Page Boy Maternity Wear,when pregnant with her 2nd child was the inspiration for her sister Elsie designing & patenting a fashionable maternity suit with a hem-line that didn't rise up as her belly grew; 1937 she & Elsie founded Page Boy Maternity Wear; she is listed as co-inventor of the patent,Textiles,Maternity garment ensemble,2141814,Elsie Frankfurt,yes,1419,undefined
1237,Textile Design,"1994, Louise established the Charitable Produce Center of Dallas at the North Texas Food Bank & funded it for the 1st 6 months; was in charge of the design studio at Page Boy Maternity Wear; Founder and President of the Alternative Medicine Research Foundation of Texas; created Common Cents Dallas in 1998, which teaches philanthropy to students of all grade levels in the Dallas Independent School District;",Philanthropy,None found,None,None,yes,1420,undefined
1238,Invented Electra-Therapeutic appliance,"invented electrotherapuetic devise & received a patent; 1873 published ""A New Path in Electrical Therapeutics"" which described how “electrical cranial diagnosis” could be used to cure a variety of diseases; founder of the Women's Praying band",Galvanic Medicine,Electra-Therapeutic appliance,167162,None,yes,1400,undefined
1239,Snow Sculpting,2021 opened Friedli Gallery in St. Paul MN-a gallery to promote indigenous artists; member of worlds only indigenous female snow sculpting team,Art,None found,None,None,yes,1002,undefined
1240,Inventor of Medi Teddy,2020 invented the Medi Teddy to cover medical IV bags to alleviate the fears of young children in the hospital; Founded Medi Teddy Inc a nonprofit that provides Medi Teddy IV Bag Covers to pediatric infusion patients at no cost to the patient,Medicine,Cover for concealing medical equipment from patients & visitors; Therapeutic pouch for concealing intravenous therapy equipment,11628121; 11576839,None,yes,1421,undefined
1241,Mother of Cryptology,"special agent for US Treasury; 1925, broke the code used by bootleggers, cracking over 12,000 messages & breaking 24 different codes resulting in convictions for 35 bootleggers including Al Capone; worked with US Coast Guard during WWII, cracked 3 Nazi codes & discovered a plot to overthrow South American leaders & replace them with Nazis; instrumental in cracking the code used by Velvalee Malvena Dickinson known as the ""Doll Woman"" a Japanese spy who ultimately received a 10 year prison sentence; cracked a Nazi code & revealed a plot to attack the Queen Mary which ultimately saved over 8,000 US soldiers on board; with husband William developed new codebreaking strategies, published in eight booklets (only 2 of which bore her name as she preferred to give credit to William), which became the foundation of the modern science of cryptology;",Espionage,None found,None,None,yes,697,undefined
1242,Identified the Friend Leukemia Virus,"while at Sloan Kettering Institute identified the Friend leukemia virus; helped to establish the concept of the oncovirus, studied the role of the host immune response in disease development, and helped define modern retrovirology; discovered Friend erythroleukemia cells; observed the cytodifferentiating effect of DMSO which laid the groundwork for the development of HDAC inhibitors; while at Mount Sinai School of Medicine discovered that a chemical called DMSO could spur leukemia cells to become red blood cells — effectively returning cancer cells back to normal;",Leukemia; Medicine,None found,None,None,yes,766,undefined
1243,Inspiration & co-founder of NOW,"1 of the founders of the National Organization for Women (NOW); 1 of the 1st lawyers in the Equal Employment Opportunity commission (EEOC); 1968 co-founder of Federally Employed Women (FEW); drafted many of the EEOC's initial landmark guidelines and decisions; 1968 co-founder of the Women's Equity Action League (WEAL); 1981 is 1 of the founders of Women in Management (WIM); drafted important guidelines and decisions including one finding that airlines violated the law when they terminated or grounded stewardesses when they married, or reached their early 30's;",Law; Feminism,None found,None,None,yes,1063,undefined
1244,Invented the Self-Cleaning House,"most well known for devising household gadgets for convenience but more specifically for designing and building the first ""self-cleaning house;"" The house incorporated 68 of her separate inventions from a self-cleaning dishwasher, a self-cleaning fireplace, and even giving her dog a bath by routing the receding water used to clean the house through the dog house. Each room contained a cleaning apparatus that was roughly 10 square inches in the center of the room. The self-cleaning system works by opening a valve and then pushing a button. This activates a sprinkler system that dispenses soap and water across the room. This automated car wash-like system cleans ceilings, walls, floors, windows, curtains, and furniture. Gabe obtained 36 patents for various pieces of cleaning inventions she invented; 1 of her inventions was for a material used to cover upholstery which is strong enough to hold molten steel but soft enough to sleep on comfortably; to cope with laundry she designed a tightly sealed cabinet where soiled clothing was placed inside on hangers, washed and dried there with jets of water and air, and then, still on hangers, pulled neatly by a chain into the clothes closet;",Inventor,Self-cleaning building construction,4428085,None,yes,1015,undefined
1245,Inventor of the ETEM,"with Edward D. Boyes created the original atomic-resolution ETEM or environmental transmission electron microscope which enables the visualization and analysis on the atomic scale of dynamic gas-catalyst reactions underpinning key chemical processes; in 2009 succeeded in creating a microscope capable of perceiving chemical reactions at the atomic scale; also with Boyes analytical in-situ environmental scanning TEM(ESTEM) with single atom resolution, to visualise and analyse dynamic gas-catalyst reactions at operating temperatures, underpinning key chemical processes, at the atomic level and in real time; is founding Co-Director, The York JEOL Nanocentre, University of York; while at DuPont she discovered an atomic scale reaction site mechanism in catalysts, since called the Gai glide shear mechanism, key to efficiently producing biofuels and polymers; also developed antibiotic nanoparticles for healthcare applications and a green nanocoating process for strong polymers and coatings;",Microscopy,Storage materials for hydrogen & other small molecules; Process for treating inorganic particles via sintering of sinterable material; Crystalline compositions of doped aluminum phosphate; Process for making durable rutile titanium dioxide pigment by vapor phase deposition of surface treatment; Vanadium-phosphorus oxide catalysts with promoter reagents; Process for producing coated TIO2 pigment using cooxidation to provide hydrous oxide coatings; Solid flowable powder wqith high liquid loading,8454921; 7799124; 7731931; 7101820; 7029648; 6903047; 6852306; 6749769; 5922120; EP 1551570,Mark Brandon Shiflett; Subrasnaniam Sabesan; Steven Raymond Lustig; Narayanan Sankara Subramanian; Russell Bertrum Diemer  JR; Kostantinos Kourtakis; Alvin Allen; John Steven Gergely; S. M. Dalziel; T. Friedman,yes,1243,undefined
1246,Women's Rights,"with Susan B. Anthony and Elizabeth Cady Stanton, Gage helped found the National Woman's Suffrage Association in 1869; served as a top officer in the National Woman Suffrage Association (NWSA) for twenty years; her childhood home was a stop on the Underground Railroad; wrote about the superior position of Haudenosaunee (Iroquois) women and supported treaty rights and Native sovereignty; influenced by the Haudenosaunee egalitarian culture; is the eponym for the Matilda effect, which describes the tendency to deny women credit for scientific invention; 1878–1881 published and edited the National Citizen, a paper devoted to the cause of women; with Anthony & Stanton wrote the first three volumes of History of Woman Suffrage (1881–1887); also was the author of the Woman's Rights Catechism (1868); Woman as Inventor (1870) (;in which she credited Catherine Littlefield Greene with the invention of the cotton gin) Who Planned the Tennessee Campaign (1880); and Woman, Church and State (1893); broke with NWSA & founded founded the Woman's National Liberal Union when her ideas became too radical for NWSA; along with twenty-four other women composed The Woman’s Bible in 1895; with Elizabeth Cady Stanton drafted the “Declaration of Rights of the Women of the United States,” which became an official part of the proceedings of the Philadelphia Centennial Exposition in 1876; 1880 with other activists formed the Equal Rights Party;",Politics,None found,None,None,yes,1181,undefined
